epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0408,0.68607,1.10779,3.17356,0.00259,7.12155,0.93942,0.92415,0.98041,0.82425,0.93942,0.92415,0.98041,0.85614,0.67238,0.67835,0.74986,0.00462,0,0.00065,0.00065,0.00065
2,89.0289,0.75974,0.74129,0.52205,0.00306,0.35025,0.95297,0.55551,0.72807,0.57802,0.90799,0.52928,0.67876,0.43673,0.98367,2.67125,1.72487,0.00679,0,0.00130798,0.00130798,0.00130798
3,130.574,0.82147,0.65036,0.37016,0.00346,0.21545,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00195715,0.00195715,0.00195715
4,173.184,0.72893,0.61202,0.32067,0.00285,0.16088,0.98322,0.2794,0.34327,0.27395,0.97483,0.27702,0.33884,0.27874,2.3758,35.7072,3.38945,0.018,0,0.0019604,0.0019604,0.0019604
5,213.428,0.69954,0.54765,0.33356,0.00278,0.17002,0.75722,0.66541,0.71479,0.57966,0.7514,0.66508,0.71293,0.59645,0.93744,1.196,1.18236,0.0068,0,0.0019472,0.0019472,0.0019472
6,256.928,0.68443,0.4968,0.26938,0.00262,0.14322,0.98367,0.97139,0.99285,0.85281,0.97953,0.97497,0.99303,0.89233,0.5956,0.54798,0.23159,0.00384,0,0.001934,0.001934,0.001934
7,299.917,0.64272,0.50155,0.23897,0.00239,0.15816,0.60745,0.68057,0.62076,0.5293,0.79183,0.39443,0.4415,0.29887,0.9192,5.33087,2.16522,0.00645,0,0.0019208,0.0019208,0.0019208
8,341.231,0.5906,0.49631,0.22758,0.00216,0.15737,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019076,0.0019076,0.0019076
9,384.496,0.57699,0.51483,0.22655,0.00219,0.15897,0.97857,0.97735,0.99285,0.90142,0.97781,0.97616,0.99272,0.89753,0.44783,0.5534,0.17987,0.00279,0,0.0018944,0.0018944,0.0018944
10,431.685,0.53258,0.49465,0.21208,0.00192,0.14891,0.99036,0.97955,0.99343,0.89992,0.99036,0.97955,0.99343,0.90772,0.44507,0.46814,0.1563,0.00287,0,0.0018812,0.0018812,0.0018812
11,476.548,0.50424,0.48129,0.19652,0.00187,0.15,0.9702,0.97007,0.99224,0.88389,0.9702,0.97007,0.99224,0.87618,0.52176,0.46408,0.21797,0.00314,0,0.001868,0.001868,0.001868
12,519.236,0.51207,0.47698,0.20345,0.00187,0.13211,0.99163,0.988,0.99393,0.92581,0.99163,0.988,0.99393,0.90249,0.36433,0.48243,0.15654,0.00223,0,0.0018548,0.0018548,0.0018548
13,564.023,0.49653,0.4756,0.20176,0.00187,0.13369,0.9865,0.98093,0.99358,0.92332,0.9865,0.98093,0.99358,0.90593,0.39539,0.50751,0.15548,0.00241,0,0.0018416,0.0018416,0.0018416
14,609.762,0.49694,0.47076,0.20762,0.00174,0.14092,0.9889,0.95556,0.99198,0.90874,0.9889,0.95556,0.99198,0.89399,0.40854,0.44456,0.18738,0.00251,0,0.0018284,0.0018284,0.0018284
15,655.615,0.51948,0.47633,0.1985,0.00185,0.11863,0.99001,0.99404,0.99386,0.92476,0.99001,0.99404,0.99386,0.9123,0.3844,0.45047,0.14236,0.00235,0,0.0018152,0.0018152,0.0018152
16,701.665,0.47425,0.46134,0.18655,0.00172,0.11666,0.98804,0.99285,0.99401,0.92884,0.98804,0.99285,0.99401,0.91414,0.37765,0.43102,0.13065,0.0024,0,0.001802,0.001802,0.001802
17,746.018,0.46437,0.44583,0.16701,0.00169,0.11136,0.99411,0.98451,0.99406,0.932,0.99411,0.98451,0.99406,0.9197,0.37603,0.42624,0.1346,0.00233,0,0.0017888,0.0017888,0.0017888
