epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8603,0.93178,1.3905,3.55152,0.00364,4.24167,0.01165,1,0.1338,0.08117,0.01165,1,0.15423,0.1124,0.43293,0.55068,3.87464,0.00271,0,0.00065,0.00065,0.00065
2,35.7316,0.64996,0.56712,1.65716,0.00234,0.50255,0.99543,0.25938,0.92633,0.80015,0.99543,0.25938,0.92504,0.79558,0.60035,0.65717,2.73541,0.00353,0,0.00130363,0.00130363,0.00130363
3,51.4869,0.71103,0.59928,1.11025,0.00259,0.22755,0.9115,0.91299,0.97401,0.85521,0.91031,0.9118,0.97337,0.83096,0.56447,0.71256,1.22678,0.00364,0,0.00194406,0.00194406,0.00194406
4,66.9482,0.69104,0.53733,0.78543,0.00244,0.15812,0.90873,0.93206,0.9794,0.88461,0.90757,0.93087,0.97854,0.86435,0.46851,0.56209,0.6602,0.0029,0,0.0019406,0.0019406,0.0019406
5,82.2317,0.62407,0.53567,0.59368,0.00223,0.16291,0.92594,0.96305,0.98625,0.91463,0.92594,0.96305,0.98625,0.88864,0.39496,0.45002,0.44752,0.00243,0,0.0019208,0.0019208,0.0019208
6,97.6175,0.61476,0.49406,0.47869,0.00212,0.165,0.96257,0.95019,0.98991,0.89748,0.96257,0.95019,0.98991,0.87357,0.4596,0.49432,0.39208,0.00281,0,0.001901,0.001901,0.001901
7,112.517,0.60716,0.50218,0.41562,0.00208,0.17913,0.93863,0.96186,0.98812,0.87481,0.93863,0.96186,0.98812,0.86291,0.54354,0.46239,0.41319,0.00334,0,0.0018812,0.0018812,0.0018812
8,127.88,0.59545,0.49319,0.36374,0.00205,0.16933,0.97194,0.97139,0.99218,0.87968,0.97194,0.97139,0.99218,0.89704,0.51881,0.42546,0.2925,0.00296,0,0.0018614,0.0018614,0.0018614
9,142.992,0.59151,0.46853,0.32437,0.00203,0.13896,0.98321,0.97735,0.9932,0.90058,0.98321,0.97735,0.9932,0.89463,0.45719,0.42966,0.23546,0.00282,0,0.0018416,0.0018416,0.0018416
10,158.099,0.55357,0.46827,0.30905,0.0019,0.14191,0.97396,0.98062,0.99307,0.89221,0.97396,0.98062,0.99307,0.9089,0.46631,0.42486,0.23635,0.00283,0,0.0018218,0.0018218,0.0018218
11,173.116,0.5724,0.45574,0.29145,0.00199,0.16366,0.97305,0.99046,0.99345,0.91429,0.97305,0.99046,0.99345,0.88117,0.40832,0.42724,0.20494,0.00247,0,0.001802,0.001802,0.001802
12,188.481,0.55165,0.45283,0.26269,0.00191,0.14024,0.98669,0.97172,0.99356,0.90473,0.98669,0.97172,0.99356,0.91334,0.43446,0.40951,0.19536,0.00267,0,0.0017822,0.0017822,0.0017822
13,203.744,0.5206,0.4601,0.25042,0.00185,0.1289,0.96855,0.99091,0.99353,0.93112,0.96855,0.99091,0.99353,0.89594,0.35856,0.41447,0.17449,0.00219,0,0.0017624,0.0017624,0.0017624
14,218.863,0.53467,0.44401,0.24814,0.00177,0.12753,0.9822,0.98655,0.99442,0.93861,0.9822,0.98655,0.99442,0.89893,0.34626,0.40873,0.17056,0.00215,0,0.0017426,0.0017426,0.0017426
15,234.363,0.51892,0.43331,0.2364,0.00175,0.11914,0.97676,0.97855,0.99378,0.9272,0.97676,0.97855,0.99378,0.90661,0.3752,0.41267,0.17083,0.00228,0,0.0017228,0.0017228,0.0017228
16,249.618,0.51324,0.45096,0.23785,0.00176,0.12785,0.97319,0.98689,0.99378,0.90131,0.97319,0.98689,0.99378,0.90332,0.44707,0.41678,0.19341,0.00289,0,0.001703,0.001703,0.001703
17,264.604,0.50767,0.44085,0.22194,0.00172,0.11747,0.97701,0.98331,0.9936,0.92373,0.97701,0.98331,0.9936,0.89362,0.37927,0.43472,0.16598,0.00233,0,0.0016832,0.0016832,0.0016832
18,279.834,0.50985,0.43728,0.21862,0.00173,0.13523,0.98328,0.99285,0.99441,0.88682,0.98328,0.99285,0.99441,0.90533,0.50583,0.40446,0.18257,0.00299,0,0.0016634,0.0016634,0.0016634
19,295.288,0.52035,0.4389,0.22161,0.00179,0.11705,0.98107,0.99285,0.99437,0.92147,0.98107,0.99285,0.99437,0.91011,0.38777,0.40669,0.15889,0.00251,0,0.0016436,0.0016436,0.0016436
20,310.395,0.50541,0.43461,0.22424,0.00166,0.12337,0.97266,0.9702,0.99306,0.91912,0.97266,0.9702,0.99306,0.89635,0.39634,0.4002,0.17776,0.00244,0,0.0016238,0.0016238,0.0016238
21,325.583,0.49698,0.42686,0.20331,0.00173,0.12139,0.98921,0.98321,0.99461,0.9446,0.98921,0.98321,0.99461,0.89614,0.33747,0.38805,0.14228,0.00199,0,0.001604,0.001604,0.001604
