epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0039,0.69973,1.45921,6.82821,0.00271,4.03187,0.01165,1,0.61763,0.52107,0.01165,1,0.61763,0.52863,0.46726,1.03095,7.24734,0.00297,0,0.00065,0.00065,0.00065
2,42.1708,0.5783,0.56363,4.0594,0.00227,0.42147,0.91344,0.54827,0.88832,0.77158,0.91344,0.54827,0.88832,0.7955,0.54916,0.64744,5.3514,0.00412,0,0.00130798,0.00130798,0.00130798
3,59.0144,0.57026,0.573,2.54171,0.00219,0.24025,0.92789,0.55215,0.85003,0.69688,0.89384,0.53188,0.77491,0.55377,0.69781,2.0326,3.43005,0.00479,0,0.00195715,0.00195715,0.00195715
4,75.24,0.58794,0.54158,1.57233,0.00226,0.15915,0.90251,0.9118,0.97335,0.84952,0.90251,0.9118,0.97335,0.88125,0.53835,0.57055,1.53977,0.00353,0,0.0019604,0.0019604,0.0019604
5,91.6166,0.57034,0.5021,1.03439,0.00222,0.16351,0.91245,0.85101,0.95917,0.7882,0.91245,0.85101,0.95917,0.88151,0.73057,0.47865,1.15269,0.00538,0,0.0019472,0.0019472,0.0019472
6,107.926,0.53515,0.48542,0.73646,0.00201,0.14139,0.94802,0.93206,0.98469,0.869,0.94802,0.93206,0.98469,0.89681,0.55457,0.47814,0.6731,0.00357,0,0.001934,0.001934,0.001934
7,124.408,0.50782,0.47781,0.53065,0.00184,0.14212,0.92175,0.95948,0.98565,0.86999,0.92175,0.95948,0.98565,0.90321,0.55436,0.45963,0.52608,0.00378,0,0.0019208,0.0019208,0.0019208
8,140.725,0.49172,0.4769,0.43906,0.00176,0.12617,0.90355,0.94913,0.98013,0.89451,0.90355,0.94913,0.98013,0.91187,0.44743,0.4401,0.45135,0.00293,0,0.0019076,0.0019076,0.0019076
9,157.084,0.48353,0.48696,0.37057,0.00176,0.11644,0.94804,0.9559,0.98843,0.90019,0.94804,0.9559,0.98843,0.91828,0.44586,0.45311,0.38282,0.00299,0,0.0018944,0.0018944,0.0018944
10,173.283,0.47295,0.4865,0.3482,0.00174,0.14836,0.95851,0.94398,0.98741,0.9043,0.95851,0.94398,0.98741,0.91364,0.42143,0.44792,0.37855,0.00269,0,0.0018812,0.0018812,0.0018812
11,189.323,0.46381,0.45999,0.306,0.00175,0.1335,0.9771,0.96644,0.99176,0.92404,0.9771,0.96644,0.99176,0.91712,0.37008,0.43796,0.28142,0.00237,0,0.001868,0.001868,0.001868
12,205.928,0.45206,0.46801,0.27715,0.00164,0.12402,0.96389,0.97139,0.99093,0.9336,0.96389,0.97139,0.99093,0.92258,0.34455,0.43871,0.26183,0.00217,0,0.0018548,0.0018548,0.0018548
13,222.298,0.45832,0.4836,0.26458,0.00173,0.12043,0.96633,0.95769,0.98942,0.92355,0.96633,0.95769,0.98942,0.91999,0.37365,0.45002,0.26265,0.00247,0,0.0018416,0.0018416,0.0018416
14,238.419,0.43704,0.45732,0.24238,0.00153,0.13241,0.97679,0.96305,0.99122,0.92486,0.97679,0.96305,0.99122,0.91909,0.36211,0.43028,0.235,0.00226,0,0.0018284,0.0018284,0.0018284
15,255.139,0.42668,0.45018,0.21949,0.0015,0.1095,0.9718,0.9859,0.99392,0.90973,0.9718,0.9859,0.99392,0.91455,0.42425,0.45655,0.23117,0.00267,0,0.0018152,0.0018152,0.0018152
16,271.42,0.44244,0.46859,0.24171,0.00161,0.12617,0.96175,0.96424,0.99107,0.90407,0.96175,0.96424,0.99107,0.90774,0.42511,0.48256,0.25135,0.00277,0,0.001802,0.001802,0.001802
17,287.879,0.4372,0.46031,0.2302,0.00158,0.11837,0.97265,0.97478,0.9927,0.92457,0.97265,0.97478,0.9927,0.91943,0.36528,0.47202,0.21498,0.00231,0,0.0017888,0.0017888,0.0017888
18,304.184,0.43624,0.47118,0.20295,0.00156,0.11583,0.96732,0.95709,0.99135,0.93242,0.96732,0.95709,0.99135,0.92111,0.34776,0.42527,0.22165,0.00221,0,0.0017756,0.0017756,0.0017756
19,320.816,0.42414,0.46115,0.19633,0.00154,0.12286,0.97526,0.98679,0.99331,0.93249,0.97526,0.98679,0.99331,0.92981,0.35599,0.42234,0.1733,0.00238,0,0.0017624,0.0017624,0.0017624
20,337.301,0.44565,0.46142,0.20355,0.00154,0.11053,0.98219,0.99404,0.99437,0.91533,0.98219,0.99404,0.99437,0.92499,0.40472,0.42847,0.18434,0.00262,0,0.0017492,0.0017492,0.0017492
21,353.59,0.39776,0.44298,0.17646,0.00145,0.12322,0.97279,0.98018,0.99292,0.93888,0.97279,0.98018,0.99292,0.92191,0.32719,0.42101,0.19045,0.00205,0,0.001736,0.001736,0.001736
22,369.662,0.40577,0.44343,0.17629,0.0015,0.11368,0.9909,0.98927,0.99399,0.92303,0.9909,0.98927,0.99399,0.92365,0.38128,0.43247,0.15456,0.00264,0,0.0017228,0.0017228,0.0017228
23,386.24,0.41659,0.43511,0.17966,0.00157,0.10822,0.99397,0.98266,0.99364,0.91502,0.99397,0.98266,0.99364,0.92803,0.39657,0.42455,0.16043,0.00261,0,0.0017096,0.0017096,0.0017096
