epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0471,0.81329,1.18974,2.84599,0.00314,3.72982,0.92186,0.94208,0.97892,0.85153,0.92055,0.93683,0.9784,0.85777,0.6076,0.62363,0.60893,0.00419,0,0.00065,0.00065,0.00065
2,35.433,0.67559,0.55466,0.51139,0.00254,0.26276,0.51692,0.14779,0.1558,0.11286,0.52155,0.14812,0.15395,0.09282,2.06112,21.6169,3.94006,0.01676,0,0.00131015,0.00131015,0.00131015
3,51.1395,0.72676,0.66007,0.37339,0.00273,0.21454,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019637,0.0019637,0.0019637
4,66.6286,0.71465,0.60214,0.34632,0.00263,0.20501,0.36577,0.05006,0.05169,0.044,0.35706,0.04887,0.05047,0.04212,nan,nan,nan,nan,0,0.0019703,0.0019703,0.0019703
5,82.4415,0.71581,0.55938,0.29807,0.00269,0.16137,0.93965,0.69607,0.75718,0.64907,0.94149,0.67126,0.71636,0.56978,nan,nan,nan,nan,0,0.0019604,0.0019604,0.0019604
6,98.3485,0.62549,0.48718,0.27241,0.00223,0.16619,0.98366,0.9857,0.99355,0.89195,0.98485,0.98689,0.99385,0.86832,0.49567,0.5248,0.1928,0.00302,0,0.0019505,0.0019505,0.0019505
7,114.466,0.60142,0.48108,0.25987,0.00214,0.17195,0.97943,0.97378,0.99116,0.858,0.97943,0.97378,0.99116,0.86323,0.58903,0.51586,0.24434,0.00406,0,0.0019406,0.0019406,0.0019406
8,130.441,0.63628,0.4903,0.25527,0.00222,0.16112,0.9838,0.99166,0.99374,0.88444,0.9838,0.99166,0.99374,0.88646,0.5098,0.43829,0.18195,0.00303,0,0.0019307,0.0019307,0.0019307
9,155.375,0.60105,0.47033,0.24279,0.00212,0.1369,0.98806,0.98597,0.99384,0.89843,0.98806,0.98597,0.99384,0.88129,0.45999,0.43486,0.20012,0.00298,0,0.0019208,0.0019208,0.0019208
10,178.611,0.54204,0.45586,0.21362,0.00189,0.13661,0.99159,0.98415,0.99438,0.91873,0.99159,0.98415,0.99438,0.88702,0.39661,0.42811,0.15616,0.00237,0,0.0019109,0.0019109,0.0019109
11,201.429,0.52854,0.45362,0.20945,0.00184,0.13607,0.97905,0.9857,0.99335,0.92117,0.97905,0.9857,0.99335,0.88123,0.3939,0.4152,0.15401,0.0023,0,0.001901,0.001901,0.001901
12,224.45,0.52451,0.47235,0.20209,0.00181,0.13207,0.98077,0.99642,0.9936,0.91042,0.98077,0.99642,0.9936,0.89643,0.41922,0.45211,0.15192,0.00255,0,0.0018911,0.0018911,0.0018911
13,248.217,0.54423,0.4698,0.19953,0.002,0.13723,0.98503,0.98927,0.99322,0.91381,0.98503,0.98927,0.99322,0.87602,0.41196,0.48218,0.15293,0.00248,0,0.0018812,0.0018812,0.0018812
14,270.79,0.54103,0.45649,0.20927,0.00185,0.13975,0.98695,0.99134,0.99341,0.90901,0.98695,0.99134,0.99341,0.88757,0.42357,0.42748,0.14693,0.00244,0,0.0018713,0.0018713,0.0018713
15,304.905,0.53344,0.46313,0.20943,0.00181,0.12833,0.95051,0.84029,0.90322,0.80587,0.95051,0.84029,0.90324,0.76951,0.52379,0.71142,0.79694,0.00319,0,0.0018614,0.0018614,0.0018614
16,334.536,0.5311,0.46759,0.22561,0.00183,0.14724,0.97986,0.98594,0.99334,0.91444,0.97986,0.98594,0.99334,0.88249,0.40368,0.46579,0.14915,0.00239,0,0.0018515,0.0018515,0.0018515
